index,job,marital,education,default,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,balance_bins,age_bins,y
0,10,2,3,0,1,0,2,2,5,0,0,0,3,2,1,0
1,7,1,1,0,1,0,0,13,4,1,0,0,3,7,1,1
2,1,1,1,0,0,1,2,3,9,0,550,12,0,2,1,0
3,0,0,1,0,1,0,0,6,4,0,167,3,1,4,1,0
4,7,0,1,0,1,0,2,13,4,2,0,0,3,6,2,0
5,4,1,2,0,1,0,0,1,1,0,0,0,3,2,1,0
6,4,1,2,0,0,0,0,6,6,2,0,0,3,5,2,0
7,1,1,0,0,1,0,0,4,1,1,193,4,1,2,2,0
8,1,1,1,0,1,0,0,11,10,0,89,3,2,3,1,1
9,0,0,1,0,1,0,2,2,5,2,0,0,3,7,1,0
10,9,2,1,0,0,0,0,21,7,7,0,0,3,2,1,0
11,6,1,2,0,1,0,2,27,4,3,0,0,3,1,1,0
12,9,2,2,0,1,1,2,4,5,23,0,0,3,0,1,0
13,9,1,1,0,0,0,0,12,7,3,0,0,3,2,2,0
14,7,1,1,0,0,0,0,13,7,1,0,0,3,5,3,0
15,4,0,1,0,1,0,1,12,4,3,347,6,0,0,3,0
16,5,0,2,0,0,0,0,5,1,1,0,0,3,7,3,1
17,7,2,1,0,1,0,2,20,4,1,0,0,3,5,1,0
18,4,2,1,0,1,0,0,6,4,0,0,0,3,2,1,0
19,9,1,1,0,0,0,2,19,5,2,0,0,3,0,1,0
20,9,0,1,0,0,0,0,11,7,3,0,0,3,2,2,0
21,7,2,1,0,1,0,2,15,4,2,0,0,3,3,0,0
22,9,1,1,0,0,0,0,5,7,2,0,0,3,5,2,0
23,9,1,1,0,1,0,0,5,4,0,0,0,3,4,0,0
24,1,2,1,0,1,0,2,29,4,1,0,0,3,7,0,0
25,4,2,2,0,1,0,2,6,4,1,0,0,3,5,1,0
26,4,0,2,0,1,0,0,13,7,1,0,0,3,1,2,0
27,1,1,1,0,1,0,0,20,10,1,0,0,3,0,2,0
28,9,2,2,0,0,0,0,10,7,3,0,0,3,4,1,0
29,0,2,1,0,1,0,2,7,4,0,0,0,3,3,0,0
30,5,1,0,0,0,1,1,7,4,1,356,3,0,5,2,1
31,6,1,1,0,1,1,0,10,4,0,0,0,3,1,1,0
32,1,1,0,0,1,0,2,13,4,0,0,0,3,6,2,0
33,6,1,2,0,1,0,0,16,10,0,0,0,3,4,1,0
34,4,1,2,0,0,1,0,16,6,2,0,0,3,7,0,0
35,6,1,1,0,0,0,0,26,7,14,0,0,3,2,1,0
36,1,1,1,0,1,0,2,18,5,2,0,0,3,6,3,0
37,7,0,1,0,1,0,2,27,4,16,0,0,3,6,2,0
38,3,1,0,0,0,0,0,13,7,1,0,0,3,6,1,1
39,9,1,1,0,1,0,0,5,3,2,332,2,1,0,1,0
40,4,2,2,0,1,0,0,11,7,0,0,0,3,7,1,0
41,1,1,0,0,1,0,0,28,7,1,0,0,3,4,2,0
42,4,2,2,0,1,0,0,6,4,0,255,6,0,5,1,0
43,1,1,1,0,1,0,1,4,4,6,0,0,3,4,2,0
44,9,2,1,0,0,0,0,7,3,1,0,0,3,6,0,1
45,4,2,2,0,0,0,2,27,4,1,0,0,3,0,1,0
46,7,1,0,0,0,1,0,9,6,0,0,0,3,5,2,0
47,9,1,1,0,1,0,2,20,4,1,0,0,3,2,1,0
48,9,2,2,0,1,1,0,5,1,15,0,0,3,2,0,0
49,4,2,2,0,1,0,0,2,10,0,179,7,0,1,1,1
50,1,0,0,0,1,0,0,15,3,0,333,1,0,7,3,0
51,1,2,1,0,0,0,2,11,10,0,375,1,2,7,1,1
52,0,2,1,0,0,0,0,3,8,2,0,0,3,0,0,1
53,4,2,2,0,0,0,0,5,9,1,463,5,1,6,0,0
54,1,2,1,0,0,1,0,7,6,0,0,0,3,0,1,0
55,9,1,2,0,0,0,0,9,1,0,0,0,3,4,1,1
56,7,1,2,0,1,1,0,2,1,1,267,1,0,4,1,0
57,1,1,1,0,1,0,0,18,10,2,0,0,3,3,1,1
58,10,1,0,0,0,0,0,2,1,3,0,0,3,0,1,0
59,4,1,2,0,0,0,0,12,7,0,0,0,3,5,1,0
60,7,1,1,0,1,0,2,4,4,0,0,0,3,1,1,0
61,7,1,1,0,1,0,0,14,4,0,295,1,1,2,1,0
62,9,1,2,0,1,0,0,10,6,1,0,0,3,5,2,0
63,7,1,1,0,1,0,2,15,4,0,0,0,3,1,0,0
64,9,0,1,0,0,1,0,3,7,0,0,0,3,5,2,0
65,9,1,2,0,0,0,0,6,7,1,0,0,3,2,1,0
66,7,1,1,0,0,0,0,17,10,1,0,0,3,4,1,0
67,4,2,2,0,0,0,0,13,7,1,0,0,3,6,1,0
68,7,2,1,0,1,0,2,19,5,27,0,0,3,7,0,0
69,5,1,2,0,0,0,0,13,9,1,0,0,3,6,3,0
70,6,1,1,0,0,0,0,24,8,1,0,0,3,0,1,0
71,1,1,1,0,1,1,2,12,4,0,0,0,3,0,0,0
72,7,0,1,0,1,0,0,27,6,2,0,0,3,0,1,0
73,1,2,1,0,1,0,0,12,4,0,0,0,3,4,2,0
74,5,1,1,0,0,0,0,30,6,0,0,0,3,5,3,0
75,1,1,1,0,1,0,2,15,5,20,0,0,3,0,1,0
76,4,1,0,0,0,0,0,20,3,1,0,0,3,7,3,0
77,2,1,2,0,0,0,1,13,7,1,0,0,3,4,2,1
78,9,1,2,0,1,1,0,28,6,14,0,0,3,5,0,0
79,6,1,1,0,0,0,2,4,5,0,0,0,3,1,1,0
80,9,1,1,1,0,0,0,28,7,3,0,0,3,2,1,0
81,1,0,0,0,1,0,2,29,4,1,0,0,3,6,2,1
82,1,1,1,0,1,1,2,27,4,1,0,0,3,0,1,0
83,7,1,1,0,1,0,2,1,8,0,0,0,3,1,0,0
84,2,1,2,0,1,0,0,11,4,0,291,5,0,1,0,0
85,0,1,1,0,0,0,1,3,4,0,0,0,3,7,2,0
86,4,2,2,0,1,0,0,19,3,3,0,0,3,4,1,0
87,4,2,2,0,0,0,0,4,5,0,0,0,3,3,0,0
88,0,1,2,0,1,1,0,4,4,0,240,1,1,3,1,0
89,9,0,2,0,1,0,0,15,3,0,314,1,0,6,1,0
90,9,0,1,0,1,0,0,21,7,2,0,0,3,2,2,0
91,0,1,1,0,1,0,2,12,4,0,0,0,3,5,2,0
92,7,1,1,0,0,0,1,30,6,3,0,0,3,3,2,1
93,9,1,1,0,0,1,0,20,10,1,0,0,3,6,2,0
94,4,1,2,0,0,0,0,5,9,0,0,0,3,6,3,0
95,1,1,0,0,0,0,0,9,6,8,0,0,3,1,2,0
96,1,1,1,0,0,0,2,19,5,2,0,0,3,6,2,0
97,4,0,2,0,0,0,2,5,5,0,0,0,3,0,1,0
98,4,1,2,0,0,0,0,3,4,1,0,0,3,7,0,1
99,2,1,1,1,0,1,0,24,6,0,0,0,3,0,3,0
100,1,1,0,0,1,1,2,15,4,0,0,0,3,6,1,0
101,9,1,3,0,1,0,2,17,5,2,0,0,3,5,2,0
102,9,1,1,0,0,0,0,28,0,1,0,0,3,6,3,0
103,1,1,1,0,1,0,1,30,9,0,0,0,3,5,1,1
104,0,1,1,0,0,0,1,8,1,5,0,0,3,4,2,0
105,7,0,1,0,0,0,0,24,6,12,0,0,3,2,1,0
106,1,1,1,0,1,0,0,5,1,0,0,0,3,5,2,0
107,2,2,1,0,0,0,0,24,6,2,0,0,3,4,1,0
108,4,1,2,0,1,1,0,20,6,0,0,0,3,7,2,0
109,4,2,2,0,0,0,0,11,1,1,89,2,2,5,0,1
110,0,1,1,0,1,1,0,0,6,1,0,0,3,5,1,0
111,9,1,1,0,0,0,0,26,7,7,0,0,3,4,2,0
112,10,2,1,0,0,0,0,3,5,2,0,0,3,4,0,0
113,1,1,0,0,1,0,2,6,4,1,0,0,3,3,1,0
114,0,2,1,0,1,0,0,5,4,0,0,0,3,1,0,1
115,6,1,1,0,0,0,1,8,3,1,137,1,0,6,2,0
116,9,2,2,0,1,0,0,2,1,0,253,1,0,3,1,0
117,7,1,1,0,1,0,2,8,4,0,0,0,3,0,1,0
118,0,0,1,0,1,0,0,10,4,1,0,0,3,0,2,0
119,1,1,0,0,1,0,0,10,4,0,0,0,3,4,2,0
120,5,1,1,0,1,0,1,14,6,2,0,0,3,5,2,0
121,9,1,1,1,0,0,0,28,7,3,0,0,3,0,1,0
122,0,2,1,0,1,0,0,20,6,2,0,0,3,1,1,0
123,6,1,2,0,0,0,0,30,7,2,89,5,1,7,2,1
124,0,1,2,0,1,0,2,19,4,1,0,0,3,0,1,0
