index,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
0,15,10,2,3,0,1086,1,0,2,2,5,0,0,0,3,0
1,19,7,1,1,0,5610,1,0,0,13,4,1,0,0,3,1
2,17,1,1,1,0,1053,0,1,2,3,9,0,550,12,0,0
3,20,0,0,1,0,1589,1,0,0,6,4,0,167,3,1,0
4,26,7,0,1,0,3290,1,0,2,13,4,2,0,0,3,0
5,25,4,1,2,0,1144,1,0,0,1,1,0,0,0,3,0
6,33,4,1,2,0,2308,0,0,0,6,6,2,0,0,3,0
7,31,1,1,0,0,1133,1,0,0,4,1,1,193,4,1,0
8,16,1,1,1,0,1236,1,0,0,11,10,0,89,3,2,1
9,20,0,0,1,0,4931,1,0,2,2,5,2,0,0,3,0
10,16,9,2,1,0,1011,0,0,0,21,7,7,0,0,3,0
11,18,6,1,2,0,931,1,0,2,27,4,3,0,0,3,0
12,20,9,2,2,0,363,1,1,2,4,5,23,0,0,3,0
13,35,9,1,1,0,1016,0,0,0,12,7,3,0,0,3,0
14,39,7,1,1,0,2231,0,0,0,13,7,1,0,0,3,0
15,42,4,0,1,0,916,1,0,1,12,4,3,347,6,0,0
16,41,5,0,2,0,4165,0,0,0,5,1,1,0,0,3,1
17,16,7,2,1,0,2073,1,0,2,20,4,1,0,0,3,0
18,13,4,2,1,0,1118,1,0,0,6,4,0,0,0,3,0
19,23,9,1,1,0,916,0,0,2,19,5,2,0,0,3,0
20,34,9,0,1,0,1022,0,0,0,11,7,3,0,0,3,0
21,12,7,2,1,0,1358,1,0,2,15,4,2,0,0,3,0
22,32,9,1,1,0,2328,0,0,0,5,7,2,0,0,3,0
23,12,9,1,1,0,1532,1,0,0,5,4,0,0,0,3,0
24,9,1,2,1,0,5398,1,0,2,29,4,1,0,0,3,0
25,16,4,2,2,0,1788,1,0,2,6,4,1,0,0,3,0
26,33,4,0,2,0,987,1,0,0,13,7,1,0,0,3,0
27,36,1,1,1,0,906,1,0,0,20,10,1,0,0,3,0
28,13,9,2,2,0,1530,0,0,0,10,7,3,0,0,3,0
