index,y
22606,0.046964154
22607,0.006562389
22608,0.060079813
22609,0.041483156
22610,0.11789924
22611,0.20261975
22612,0.05818279
22613,0.24966788
22614,0.026310738
22615,0.10500557
22616,0.038186427
22617,0.43955535
22618,-0.014043752
22619,0.18728378
22620,0.051604796
22621,0.06769494
22622,0.04026272
22623,0.045063246
22624,0.4507753
22625,0.060580995
22626,0.07017379
22627,0.04626209
22628,0.058217585
22629,0.07581308
22630,0.037446313
22631,0.02119238
22632,0.036828894
22633,0.05553276
22634,0.0954449
22635,0.08893182
22636,0.25112838
22637,0.025728313
22638,0.046000026
22639,0.010826502
22640,0.05997525
22641,0.12553246
22642,0.18524966
22643,0.018455045
22644,0.06790142
22645,0.15219866
22646,0.018164044
22647,0.05600658
22648,0.10187242
22649,0.06879237
22650,0.025254456
22651,0.10387657
22652,0.07386628
22653,0.015698398
22654,0.2238958
22655,0.07798073
22656,0.054487713
22657,0.024102312
22658,-0.006507649
22659,0.08485341
22660,0.9147105
22661,-0.002730655
22662,0.051634587
22663,0.35017598
22664,0.09551297
22665,0.044769876
22666,0.052936297
22667,0.28515056
22668,0.004943128
22669,0.07032143
22670,0.01701123
22671,0.5100053
22672,0.023762092
22673,0.026189024
22674,0.053033758
22675,0.052471492
22676,0.02913943
22677,0.32793307
22678,0.41360125
22679,0.055609077
22680,0.0039223544
22681,0.04119185
22682,0.35780117
22683,0.3689639
22684,0.88510656
22685,0.35373884
22686,0.7324945
22687,0.11778977
22688,0.05344815
22689,0.039417196
22690,0.061086327
22691,0.024193399
22692,0.04241047
22693,0.105286434
22694,0.025849564
22695,0.081188835
22696,0.17652193
22697,0.17600505
22698,0.06751481
22699,0.044992663
22700,0.06327462
22701,0.042618096
22702,0.028898044
22703,0.097279444
22704,0.0315236
22705,0.07540428
22706,0.03253161
22707,0.07174323
22708,0.030826246
22709,0.06645765
22710,0.11892251
22711,0.07615132
22712,0.04927603
22713,0.035914857
22714,0.037709225
22715,0.021199392
22716,0.07634182
22717,-0.03832474
22718,-0.001788494
22719,0.08085069
22720,0.05010343
22721,0.077367425
22722,0.013467923
22723,0.0459388
22724,0.021878839
22725,-0.0042931787
22726,0.70938545
22727,0.009533515
22728,0.09250066
22729,0.06425692
22730,0.077436976
22731,0.12067775
22732,0.24113049
22733,0.34304157
22734,0.020697515
22735,0.025491135
22736,0.0625729
22737,0.028268537
22738,0.42832413
22739,0.33299258
22740,0.42953965
22741,0.08003324
22742,0.048374686
22743,0.036223598
22744,0.06399882
22745,0.011674246
22746,0.12553246
22747,0.042660177
22748,-0.0067073945
22749,0.06769708
22750,-0.014429465
22751,0.03686268
22752,0.025067132
22753,0.16488372
22754,0.18799566
22755,0.035369527
22756,0.027645096
22757,0.054177176
22758,0.098165095
22759,0.1321761
22760,0.0917053
22761,0.10945147
22762,0.021941608
22763,0.38206294
22764,0.07175817
22765,0.025849564
22766,0.040215902
22767,0.04868562
22768,0.046165
22769,0.11502807
22770,0.01173114
22771,0.01849023
22772,0.039158024
22773,0.061500512
22774,0.076091185
22775,0.08499866
22776,0.08491105
22777,0.06283715
22778,0.522337
22779,0.0817805
22780,0.41993815
22781,0.10050132
22782,0.03958614
22783,0.055334862
22784,0.02734393
22785,0.100282215
22786,0.116114326
22787,0.031743195
22788,0.112943575
22789,0.019785628
22790,0.13966903
22791,0.047012076
22792,0.029657273
22793,0.02075744
22794,0.68058115
22795,0.10034663
22796,0.016985035
22797,0.050043803
22798,0.03040955
22799,0.037708987
22800,0.067102015
22801,0.038772613
22802,0.043315478
22803,0.04847481
22804,0.067131475
22805,0.0037744793
22806,0.07388821
22807,0.12398136
22808,0.45142257
22809,0.055271495
22810,0.038552057
22811,0.07109522
22812,0.59984744
22813,0.0031487118
22814,0.0025172778
22815,0.06600762
22816,0.054056026
22817,0.029034387
22818,-0.023828616
22819,0.021885013
22820,0.030430453
22821,0.0602049
22822,0.037566256
22823,0.054170173
22824,0.05430825
22825,0.010601537
22826,0.06903753
22827,0.045620218
22828,0.076917015
22829,0.062117808
22830,0.3751832
22831,0.029169621
22832,0.32976273
22833,0.22327839
22834,0.031919297
22835,0.20697755
22836,0.044244587
22837,0.12687382
22838,0.27465218
22839,0.045392923
22840,0.054674927
22841,0.029321976
22842,0.05303427
22843,0.08929233
22844,0.27604946
22845,0.07961393
22846,0.06403524
22847,0.5942841
22848,0.035914343
22849,0.15716703
22850,0.059318006
22851,0.032797147
22852,0.099191286
22853,0.11212918
22854,0.0346876
22855,0.12355636
22856,-0.018890599
22857,0.03376338
22858,0.076091185
22859,0.4025422
22860,0.03182109
22861,0.041446522
22862,0.08124393
22863,0.057474468
22864,0.05356917
22865,0.05636926
22866,0.03688053
22867,0.06733059
22868,0.02463816
22869,0.04089507
22870,0.03023666
22871,0.0495329
22872,0.12729518
22873,0.5236395
22874,0.028577043
22875,0.17423093
22876,0.01721053
22877,0.03485443
22878,0.10351857
22879,0.15507044
22880,0.12553246
22881,0.056090396
22882,0.08222673
22883,0.019587703
22884,0.595829
22885,0.0352996
22886,0.016462091
22887,0.052267004
22888,0.062689945
22889,0.93171823
22890,0.08437786
22891,0.0144510735
22892,0.1787943
22893,0.12209342
22894,0.017644426
22895,0.033465717
22896,0.024707088
22897,0.03379701
22898,0.016981285
22899,0.027875667
22900,0.21192858
22901,0.040528104
22902,0.11128066
22903,0.020509267
22904,0.015059967
22905,0.057911362
22906,0.014835002
22907,0.10934039
22908,0.05076074
22909,0.044595204
22910,0.020700848
22911,0.059281334
22912,0.06379117
22913,0.1136619
22914,0.12630433
22915,0.14643893
22916,0.022486141
22917,0.071386985
22918,0.7725902
22919,0.04570344
22920,0.119602986
22921,-0.01679414
22922,0.1681838
22923,0.081521966
22924,0.1026374
22925,0.030005869
22926,0.054560147
22927,0.14872977
22928,0.42169228
22929,0.036269553
22930,0.031813074
22931,0.13394026
22932,0.14332771
22933,0.03119334
22934,0.08253114
22935,0.12846008
22936,0.03612378
22937,0.11372029
22938,0.08777521
22939,0.029251223
22940,0.054302823
22941,0.06513067
22942,0.108323075
22943,0.46186468
22944,0.037493866
22945,0.2937998
22946,0.07917556
22947,0.015533024
22948,0.039027557
22949,0.08525022
22950,0.112145245
22951,0.12538712
22952,0.032797147
22953,0.03911029
22954,0.060782596
22955,0.45615792
22956,0.0066001075
22957,0.038622696
22958,0.022762373
22959,0.07508095
22960,0.101897225
22961,0.030773008
22962,0.07285482
22963,0.03211714
22964,0.04245365
22965,0.038034897
22966,0.07304006
22967,0.0059723128
22968,0.024576018
22969,0.062604055
22970,0.08355137
22971,0.08898666
22972,0.028404038
22973,0.04299198
22974,0.02724501
22975,0.055679694
22976,0.05335728
22977,0.07798073
22978,0.04050551
22979,0.3848155
22980,0.028812686
22981,0.29633522
22982,0.031486582
22983,0.025465706
22984,0.21389614
22985,0.020239463
22986,0.041413084
22987,0.061491303
22988,0.028268537
22989,0.076570526
22990,0.035683796
22991,0.21955563
22992,0.029379463
22993,0.026189024
22994,0.07494765
22995,0.03255362
22996,0.6786031
22997,0.07409115
22998,0.040111646
22999,0.503156
23000,0.08782991
23001,0.068112396
23002,0.061735757
23003,0.48525715
23004,0.019572178
23005,0.04596874
23006,0.16358629
23007,0.11501643
23008,0.008946165
23009,0.014597937
23010,0.035737846
23011,0.04271599
23012,0.13343912
23013,0.6569231
23014,0.019942107
23015,0.061609525
23016,0.066077285
